y	x_norm	votesh_so	cutoff_34	cutoff_37	cutoff_40	cutoff_43	cutoff_46	cutoff_49
0	-.4323989152908325	50.2161979675293	0	0	0	0	0	1
1	36.66550064086914	31.66724967956543	1	0	0	0	0	0
0	36.30573272705078	31.84713363647461	1	0	0	0	0	0
0	89.84771728515625	5.076141834259033	0	0	0	0	0	0
1	-37.17854690551758	43.13005065917969	0	0	0	1	1	0
0	.559765100479126	37.63582229614258	0	1	0	0	0	0
0	-5.189028263092041	31.67778587341309	1	1	0	0	0	0
0	6.023221969604492	28.11320686340332	0	0	0	0	0	0
0	-9.855288505554199	38.28290557861328	1	1	1	0	0	0
0	-4.485255241394043	36.62055206298828	1	1	1	0	0	0
1	24.07614898681641	28.13549995422363	0	0	0	0	0	0
1	20.38936996459961	39.80531311035156	0	0	1	0	0	0
1	8.374142646789551	45.81292724609375	0	0	0	0	1	0
1	9.704839706420898	45.14757919311523	0	0	0	0	1	0
0	-49.67873001098633	54.46961975097656	0	0	0	0	0	0
0	-36.46450805664063	49.11127853393555	0	0	0	0	0	1
1	23.66353034973145	33.46984100341797	1	0	0	0	0	0
1	44.65472412109375	27.67263984680176	0	0	0	0	0	0
1	6.399402141571045	37.59960174560547	0	1	0	0	0	0
1	11.25469207763672	42.71585464477539	0	0	0	1	0	0
0	-49.59991455078125	50.80535888671875	0	0	0	0	0	0
0	-45.13167953491211	49.84154510498047	0	0	0	0	0	1
1	12.37999153137207	43.81000518798828	0	0	0	1	0	0
1	1.402440667152405	29.16666603088379	0	0	0	0	0	0
0	-1.491978764533997	49.92502593994141	0	0	0	0	0	1
0	-31.57073593139648	41.31960678100586	0	0	1	1	0	0
0	-7.916784286499023	53.95839309692383	0	0	0	0	0	0
0	-6.078734874725342	39.02933120727539	0	1	1	0	0	0
1	31.00832939147949	34.49583435058594	1	0	0	0	0	0
1	32.41572189331055	33.79214096069336	1	0	0	0	0	0
1	-30.89678192138672	44.50084686279297	0	0	0	1	1	0
1	20.75598907470703	28.14714813232422	0	0	0	0	0	0
0	1.685222983360291	34.06560516357422	1	0	0	0	0	0
1	.7287174463272095	49.02285766601563	0	0	0	0	0	1
0	10.63953590393066	44.68023300170898	0	0	0	1	1	0
1	8.828049659729004	33.32372665405273	1	0	0	0	0	0
0	13.6085901260376	42.79222869873047	0	0	0	1	0	0
0	19.74727821350098	38.59695053100586	0	1	1	0	0	0
0	15.7708911895752	30.65908241271973	0	0	0	0	0	0
0	-40.67256546020508	44.10619354248047	0	0	0	1	1	0
0	-11.77083587646484	51.375	0	0	0	0	0	0
0	24.90755844116211	24.47862815856934	0	0	0	0	0	0
0	-25.79738426208496	40.13198089599609	0	1	1	1	0	0
0	-8.55384635925293	23.69230842590332	1	0	0	0	0	0
0	-50.68056488037109	53.80828475952148	0	0	0	0	0	0
0	3.937325000762939	46.06267547607422	0	0	0	0	1	0
0	-12.60269165039063	33.09560394287109	1	1	0	0	0	0
0	-22.10504722595215	61.05252456665039	0	0	0	0	0	0
1	-37.17306518554688	46.80022430419922	0	0	0	0	1	1
0	33.31267547607422	33.34366226196289	1	0	0	0	0	0
0	15.694016456604	23.77040481567383	0	0	0	0	0	0
0	-17.96849632263184	47.83269882202148	0	0	0	0	1	1
0	-40.48108673095703	48.20709991455078	0	0	0	0	1	1
0	7.277140140533447	46.36143112182617	0	0	0	0	1	0
0	6.067517280578613	45.93978118896484	0	0	0	0	1	0
