x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
27192	1	-3373	0	0	0	1	1	0	0
9763.333	1	-425.66699	1	0	0	0	0	0	0
9549.333	1	-639.66699	1	0	0	0	0	0	0
40115.668	0	2759.668	0	0	0	0	0	1	1
8884.667	0	-1304.333	1	0	0	0	0	0	0
26558.666	0	2785.666	0	0	0	1	1	0	0
26558.666	1	2785.666	0	0	0	1	1	0	0
32913	1	2348	0	0	0	0	1	1	0
19822.334	1	2841.334	0	0	1	1	0	0	0
17130.334	1	149.33398	0	0	1	1	0	0	0
14703	0	1118	0	1	1	0	0	0	0
15429.333	0	-1551.667	0	1	1	0	0	0	0
35777.668	1	-1578.332	0	0	0	0	1	1	0
9306	0	-883	1	0	0	0	0	0	0
18518.666	1	1537.666	0	0	1	1	0	0	0
16694.334	0	-286.66602	0	1	1	0	0	0	0
16936	1	-45	0	1	1	0	0	0	0
29860.334	0	-704.66602	0	0	0	1	1	0	0
41946	0	-2202	0	0	0	0	0	1	1
11500.667	0	1311.667	1	1	0	0	0	0	0
13905.333	1	320.33301	0	1	1	0	0	0	0
9776.667	0	-412.33301	1	0	0	0	0	0	0
10494	1	305	1	1	0	0	0	0	0
10037	0	-152	1	0	0	0	0	0	0
37050.332	0	-305.66797	0	0	0	0	1	1	0
23743	1	-30	0	0	1	1	0	0	0
11183.667	1	994.66699	1	1	0	0	0	0	0
28762.666	0	-1802.334	0	0	0	1	1	0	0
35823	0	-1533	0	0	0	0	1	1	0
35823	1	-1533	0	0	0	0	1	1	0
7183	0	-3006	1	0	0	0	0	0	0
7617	1	-2572	1	0	0	0	0	0	0
12949.667	0	-635.33301	1	1	0	0	0	0	0
13880.333	1	295.33301	0	1	1	0	0	0	0
18180	0	1199	0	0	1	1	0	0	0
18565.334	0	1584.334	0	0	1	1	0	0	0
19609.334	0	2628.334	0	0	1	1	0	0	0
20028.666	1	3047.666	0	0	1	1	0	0	0
31270.666	1	705.66602	0	0	0	0	1	1	0
31270.666	0	705.66602	0	0	0	0	1	1	0
32947	1	2382	0	0	0	0	1	1	0
21823	0	-1950	0	0	1	1	0	0	0
10700	1	511	1	1	0	0	0	0	0
11747.333	1	1558.333	1	1	0	0	0	0	0
19544	0	2563	0	0	1	1	0	0	0
14176	0	591	0	1	1	0	0	0	0
17344.334	0	363.33398	0	0	1	1	0	0	0
17344.334	1	363.33398	0	0	1	1	0	0	0
14307.333	1	722.33301	0	1	1	0	0	0	0
23543	0	-230	0	0	1	1	0	0	0
23167	1	-606	0	0	1	1	0	0	0
23147.334	1	-625.66602	0	0	1	1	0	0	0
23617.334	1	-155.66602	0	0	1	1	0	0	0
11293.667	1	1104.667	1	1	0	0	0	0	0
15098	1	1513	0	1	1	0	0	0	0
21942.666	0	-1830.334	0	0	1	1	0	0	0
18838.666	1	1857.666	0	0	1	1	0	0	0
25702	1	1929	0	0	0	1	1	0	0
10985	1	796	1	1	0	0	0	0	0
7715.3335	0	-2473.6665	1	0	0	0	0	0	0
25433.334	1	1660.334	0	0	0	1	1	0	0
12802.333	1	-782.66699	1	1	0	0	0	0	0
14565.667	1	980.66699	0	1	1	0	0	0	0
10947.667	1	758.66699	1	1	0	0	0	0	0
46575.668	0	2427.668	0	0	0	0	0	0	1
45808.332	1	1660.332	0	0	0	0	0	0	1
14638.667	0	1053.667	0	1	1	0	0	0	0
14496	0	911	0	1	1	0	0	0	0
15188.333	1	1603.333	0	1	1	0	0	0	0
17056.334	1	75.333984	0	0	1	1	0	0	0
19700.334	1	2719.334	0	0	1	1	0	0	0
19349.334	0	2368.334	0	0	1	1	0	0	0
18354.666	1	1373.666	0	0	1	1	0	0	0
40405.668	0	3049.668	0	0	0	0	0	1	1
13081	0	-504	1	1	0	0	0	0	0
37277.668	0	-78.332031	0	0	0	0	1	1	0
9604	0	-585	1	0	0	0	0	0	0
10586.333	1	397.33301	1	1	0	0	0	0	0
17837	0	856	0	0	1	1	0	0	0
20058	0	3077	0	0	1	1	0	0	0
11873.667	1	1684.667	1	1	0	0	0	0	0
12888.333	1	-696.66699	1	1	0	0	0	0	0
7844.3335	0	-2344.6665	1	0	0	0	0	0	0
8377.333	0	-1811.667	1	0	0	0	0	0	0
14126	1	541	0	1	1	0	0	0	0
14126	0	541	0	1	1	0	0	0	0
16722.334	1	-258.66602	0	1	1	0	0	0	0
13026.667	0	-558.33301	1	1	0	0	0	0	0
33727.332	1	3162.332	0	0	0	0	1	1	0
22395	0	-1378	0	0	1	1	0	0	0
22800.666	1	-972.33398	0	0	1	1	0	0	0
7235.3335	1	-2953.6665	1	0	0	0	0	0	0
12071.333	0	-1513.667	1	1	0	0	0	0	0
13016	0	-569	1	1	0	0	0	0	0
13602.667	0	17.666992	0	1	1	0	0	0	0
19847.334	0	2866.334	0	0	1	1	0	0	0
7238.6665	1	-2950.3335	1	0	0	0	0	0	0
11702.667	0	1513.667	1	1	0	0	0	0	0
7524.3335	0	-2664.6665	1	0	0	0	0	0	0
7256.3335	1	-2932.6665	1	0	0	0	0	0	0
7665.6665	1	-2523.3335	1	0	0	0	0	0	0
14552	0	967	0	1	1	0	0	0	0
16411.666	1	-569.33398	0	1	1	0	0	0	0
17840.666	1	859.66602	0	0	1	1	0	0	0
15786.667	0	-1194.333	0	1	1	0	0	0	0
16794	1	-187	0	1	1	0	0	0	0
30792	1	227	0	0	0	0	1	1	0
9399	0	-790	1	0	0	0	0	0	0
7927	0	-2262	1	0	0	0	0	0	0
8455	0	-1734	1	0	0	0	0	0	0
21830.666	1	-1942.334	0	0	1	1	0	0	0
11161.333	1	972.33301	1	1	0	0	0	0	0
15237	1	1652	0	1	1	0	0	0	0
13783.667	0	198.66699	0	1	1	0	0	0	0
14975.333	1	1390.333	0	1	1	0	0	0	0
25843	0	2070	0	0	0	1	1	0	0
40941	0	-3207	0	0	0	0	0	1	1
12251.667	1	-1333.333	1	1	0	0	0	0	0
15198.333	0	1613.333	0	1	1	0	0	0	0
17029.334	1	48.333984	0	0	1	1	0	0	0
17029.334	1	48.333984	0	0	1	1	0	0	0
11905	1	-1680	1	1	0	0	0	0	0
28384.334	0	-2180.666	0	0	0	1	1	0	0
31308.666	1	743.66602	0	0	0	0	1	1	0
17605	1	624	0	0	1	1	0	0	0
40726.332	1	3370.332	0	0	0	0	0	1	1
45375	1	1227	0	0	0	0	0	0	1
