ibope;;ID;W_orig-1semana;W;UF
1;Edwaldo Sérgio;;10;35;"""MG"""
3;"""ISRAEL PINHEIRO FILHO""";;10;35;"""MG"""
3;"""MARIO DE OLIVEIRA""";;10;35;"""MG"""
0;"""ANGELA MARIA NERI PERES""";;10;35;"""MG"""
1;"""RODRIGO ANTONIO DE PAIVA""";;10;35;"""MG"""
2;"""SEBASTIAO DE BARROS QUINTAO""";;10;35;"""MG"""
1;"""SORAYA ANDREA MENEZES""";;10;35;"""MG"""
0;"""TIBELINDO SOARES RESENDE""";;10;35;"""MG"""
0;"""MARCOS VILLELA DE SANT'ANNA""";MG233;10;35;"""MG"""
0;Patrus Ananias;;11;36;"""MG"""
28;"""HELIO CALIXTO DA COSTA""";;11;36;"""MG"""
0;Newton Cardoso;;11;36;"""MG"""
0;Aécio Neves;;11;36;"""MG"""
39;"""EDUARDO BRANDAO DE AZEREDO""";;11;36;"""MG"""
9;"""JUNIA MARISE AZEREDO COUTINHO""";;11;36;"""MG"""
0;Arlindo Porto;;11;36;"""MG"""
0;Clésio Andrade;;11;36;"""MG"""
0;Francelino Pereira;;11;36;"""MG"""
8;"""TILDEN JOSE SANTIAGO""";;11;36;"""MG"""
16;"""JOSE PERRELLA DE OLIVEIRA COSTA""";;11;36;"""MG"""
0;"""AMOS LOPES DE CARVALHO""";;11;36;"""MG"""
0;"""ANGELO ELMO DE MELO""";;11;36;"""MG"""
1;"""CAMILO DOS SANTOS""";;11;36;"""MG"""
0;"""CASSIANO RICARDO FREITAS""";;11;36;"""MG"""
0;Edwaldo Sérgio;;11;36;"""MG"""
2;"""ISRAEL PINHEIRO FILHO""";;11;36;"""MG"""
2;"""MARIO DE OLIVEIRA""";;11;36;"""MG"""
0;"""ANGELA MARIA NERI PERES""";;11;36;"""MG"""
1;"""RODRIGO ANTONIO DE PAIVA""";;11;36;"""MG"""
1;"""SEBASTIAO DE BARROS QUINTAO""";;11;36;"""MG"""
1;"""SORAYA ANDREA MENEZES""";;11;36;"""MG"""
1;"""TIBELINDO SOARES RESENDE""";;11;36;"""MG"""
0;"""MARCOS VILLELA DE SANT'ANNA""";;11;36;"""MG"""
0;Patrus Ananias;;13;38;"""MG"""
33;"""HELIO CALIXTO DA COSTA""";;13;38;"""MG"""
0;Newton Cardoso;;13;38;"""MG"""
0;Aécio Neves;;13;38;"""MG"""
43;"""EDUARDO BRANDAO DE AZEREDO""";;13;38;"""MG"""
0;"""JUNIA MARISE AZEREDO COUTINHO""";;13;38;"""MG"""
0;Arlindo Porto;;13;38;"""MG"""
0;Clésio Andrade;;13;38;"""MG"""
0;Francelino Pereira;;13;38;"""MG"""
16;"""TILDEN JOSE SANTIAGO""";;13;38;"""MG"""
21;"""JOSE PERRELLA DE OLIVEIRA COSTA""";;13;38;"""MG"""
0;"""AMOS LOPES DE CARVALHO""";;13;38;"""MG"""
1;"""ANGELO ELMO DE MELO""";;13;38;"""MG"""
1;"""CAMILO DOS SANTOS""";;13;38;"""MG"""
1;"""CASSIANO RICARDO FREITAS""";;13;38;"""MG"""
0;Edwaldo Sérgio;;13;38;"""MG"""
2;"""ISRAEL PINHEIRO FILHO""";;13;38;"""MG"""
3;"""MARIO DE OLIVEIRA""";;13;38;"""MG"""
1;"""ANGELA MARIA NERI PERES""";;13;38;"""MG"""
1;"""RODRIGO ANTONIO DE PAIVA""";;13;38;"""MG"""
2;"""SEBASTIAO DE BARROS QUINTAO""";;13;38;"""MG"""
1;"""SORAYA ANDREA MENEZES""";;13;38;"""MG"""
0;"""TIBELINDO SOARES RESENDE""";;13;38;"""MG"""
0;"""MARCOS VILLELA DE SANT'ANNA""";;13;38;
;;;;25;"""PA"""
3;"""DJAIR ALENCAR NASCIMENTO""";;9;34;"""PA"""
41;"""ANA JULIA DE VASCONCELOS CAREPA""";PA131;9;34;"""PA"""
2;"""AURELIO CORREA DO CARMO""";PA152;9;34;"""PA"""
0;"""DONAR LUIZ DALFERTH""";;9;34;"""PA"""
28;"""DUCIOMAR GOMES DA COSTA""";PA411;9;34;"""PA"""
21;"""ELCIONE THEREZINHA ZAHLUTH BARBALHO""";PA151;9;34;"""PA"""
2;"""JOAO ORLANDO GALENO AMARAL""";PA161;9;34;"""PA"""
17;"""GERSON DOS SANTOS PERES""";PA111;9;34;"""PA"""
2;"""ISABEL MARIA BRITO PIMENTEL""";PA401;9;34;"""PA"""
2;Marquinho;;9;34;"""PA"""
4;"""NEUTON MIRANDA SOBRINHO""";PA654;9;34;"""PA"""
9;"""RAUL BATISTA DE SOUZA""";PA177;9;34;"""PA"""
2;"""RAIMUNDO PINHEIRO DOS SANTOS""";;9;34;"""PA"""
1;"""RAIMUNDO WANDERLEY CORREIA PADILHA""";PA162;9;34;"""PA"""
1;"""TELMA DE CARVALHO LOBO""";PA231;9;34;"""PA"""
11;"""SAHID XERFAN""";PA141;9;34;"""PA"""
0;Romulo Maiorana Junior;;9;34;"""PA"""
0;Almir Gabriel;;9;34;"""PA"""
0;Hildegrando Nunes;;9;34;"""PA"""
0;Jader Barbalhi;;9;34;"""PA"""
0;"""DJAIR ALENCAR NASCIMENTO""";;16;41;"""PA"""
46;"""ANA JULIA DE VASCONCELOS CAREPA""";PA131;16;41;"""PA"""
2;"""AURELIO CORREA DO CARMO""";PA152;16;41;"""PA"""
0;"""DONAR LUIZ DALFERTH""";;16;41;"""PA"""
36;"""DUCIOMAR GOMES DA COSTA""";PA411;16;41;"""PA"""
